TV_Spend,Radio_Spend,SocialMedia_Spend,Influencer_Score,Product_Category,Region,Month,Discount_Rate,Online_Promo,Customer_Rating,Units_Sold
16996.81,11565.82,6899.89,7.0,A,South,Aug,31.99,Yes,3.7,90.0
18541.53,10890.95,8326.85,9.0,A,East,Jun,18.11,No,3.4,89.0
16991.47,10751.48,11603.18,10.0,A,North,Jul,7.41,Yes,3.4,85.0
28634.63875,11039.34,4410.34,8.0,B,North,Mar,7.71,No,3.5,120.0
19932.51,7959.93,10907.91,6.0,A,South,Jan,8.65,Yes,4.3,81.0
14711.45,10696.76,8025.58,8.0,B,East,May,34.42,Yes,4.0,72.0
24112.72,10879.22,5546.23,5.0,A,West,Dec,36.87,Yes,3.6,99.0
13895.78,7856.95,9155.26,8.0,A,East,Dec,9.3,No,3.8,66.0
21044.32,15597.32,8497.65,10.0,B,South,Feb,13.26,No,2.7,105.0
10428.348750000003,11421.5,6499.46,4.0,B,South,May,10.79,Yes,2.5,61.0
13359.07,6426.09,8174.51,10.0,A,East,Aug,11.52,Yes,3.8,59.0
20984.31,11969.66,7036.72,8.0,B,West,Nov,34.31,No,2.5,99.0
23692.33,7075.95,8283.79,10.0,A,West,Sep,16.63,No,2.8,92.0
20856.84,12361.25,9655.33,2.0,B,North,Feb,15.9,No,3.8,97.0
19421.76,13475.79,11965.04,5.0,C,West,Dec,12.96,Yes,4.5,102.0
18494.48,7537.95,4905.46,9.0,C,East,Mar,26.28,No,4.9,76.0
12607.39,12890.13,13332.58,4.0,C,South,Mar,18.28,Yes,4.5,79.0
16400.78,11238.34,3119.78,6.0,C,North,Jan,31.05,No,4.2,80.0
17696.81,12466.18,7620.54,1.0,C,North,Aug,12.2,Yes,3.8,88.0
25285.61,15690.38,9470.79,9.0,A,South,Jun,32.57,No,2.7,121.0
21718.09,9263.84,8702.48,1.0,C,West,Dec,26.13,No,4.9,95.0
11184.8,7738.79,6443.25,5.0,C,South,Aug,9.0,No,4.4,66.0
21620.42,7331.46,7479.69,4.0,C,West,Nov,19.51,No,3.8,89.0
18074.59,7552.57,6767.5,3.0,C,South,Sep,35.22,No,4.4,79.0
16615.39,9768.69,6526.59,6.0,B,East,May,37.3,Yes,4.3,83.0
23058.38,11023.46,10124.01,2.0,A,West,Dec,21.3,No,4.1,102.0
25155.0,10830.07,8892.54,3.0,C,East,Mar,21.83,No,5.0,103.0
19639.95,12481.55,6267.73,5.0,C,North,May,37.15,No,4.8,103.0
15803.91,10039.01,10249.0,9.0,C,South,May,25.55,Yes,4.1,77.0
18453.94,14360.6,8768.25,2.0,A,North,May,6.15,No,4.2,88.0
21656.32,9206.03,10032.16,10.0,B,North,Mar,36.95,Yes,2.6,97.0
24877.73,18160.51,9574.07,8.0,A,North,Nov,13.69,No,4.2,117.0
17604.13,11877.0,5927.51,2.0,B,North,Oct,25.22,No,2.6,83.0
19071.71,7428.53,6599.55,5.0,C,South,Apr,10.79,Yes,4.0,80.0
14468.33,6787.32,9868.23,7.0,C,North,Sep,6.19,No,5.0,67.0
19639.95,11447.42,9525.93,8.0,A,South,Oct,15.9,Yes,3.9,79.0
24062.63,9329.61,7947.75,1.0,A,South,Sep,32.32,Yes,3.7,98.0
26781.2,12142.0,8293.32,6.0,B,East,Feb,14.72,No,3.3,116.0
19639.95,11419.71,11194.16,1.0,B,West,Aug,12.7,Yes,2.8,103.0
25017.66,9781.51,6521.07,2.0,A,West,Aug,12.44,No,4.3,103.0
21808.18,7459.62,9367.74,1.0,B,South,Jul,23.03,No,3.0,86.0
16774.4,5455.46,7494.52,5.0,A,East,Aug,39.14,Yes,2.8,68.0
21806.98,8660.46,7455.8,10.0,B,South,Mar,21.06,Yes,3.6,91.0
27690.18,12569.2,10746.94,9.0,A,South,Jun,24.51,Yes,4.5,118.0
19820.87,10642.28,10063.54,6.0,A,South,Jan,35.12,Yes,4.4,88.0
27823.22,6262.78,10033.77,1.0,A,East,Jul,23.73,No,2.6,107.0
10428.348750000003,10519.54,11263.7,1.0,B,West,Jan,11.46,No,3.6,52.0
24109.51,11155.95,8052.51,2.0,B,East,Sep,15.49,Yes,3.8,106.0
20435.24,7348.43,9704.88,9.0,B,North,Jan,15.85,No,4.1,92.0
18504.96,10461.18,7224.33,3.0,A,East,Jan,18.91,No,4.1,82.0
20458.8,10174.63,8810.42,1.0,B,East,Jul,19.94,No,3.4,85.0
10428.348750000003,6571.09,7674.64,5.0,B,East,Feb,32.99,No,3.9,49.0
18901.64,11073.36,8242.49,7.0,A,East,May,17.23,Yes,3.7,93.0
21785.56,11682.35,9487.89,6.0,C,West,Aug,21.39,Yes,4.7,104.0
27389.47,13249.15,5954.45,1.0,A,North,Aug,26.87,No,3.8,117.0
17408.65,13161.41,13230.97,5.0,B,West,Mar,18.22,Yes,3.6,91.0
15957.53,5866.99,5484.96,5.0,A,West,Jul,34.28,Yes,3.5,71.0
17491.21,7186.52,4964.53,6.0,C,East,Mar,25.56,Yes,3.9,79.0
24577.01,11545.11,10895.28,3.0,A,South,Jun,15.29,No,3.8,104.0
21643.76,11541.36,9979.16,5.0,B,South,Jun,29.99,No,3.8,98.0
17351.2,11545.14,9560.3,7.0,C,West,Mar,23.47,No,4.2,95.0
22566.34,18422.410000000003,9570.86,5.0,B,West,Jul,23.71,Yes,4.3,119.0
20485.39,11712.67,7969.38,5.0,C,East,Mar,21.84,No,3.8,84.0
24843.22,13406.7,5756.86,5.0,C,West,Aug,22.4,No,3.6,114.0
16489.73,12862.01,8189.51,10.0,A,East,Oct,31.79,Yes,4.7,91.0
18361.69,11954.17,6307.1,10.0,A,South,Apr,8.6,No,3.5,83.0
18039.46,9054.19,10437.8,3.0,B,South,Jan,16.7,No,3.7,82.0
12682.43,12276.91,7632.36,1.0,A,North,Apr,7.64,Yes,5.0,66.0
21480.6,7681.52,5936.26,5.0,A,South,Jul,31.36,Yes,2.5,88.0
21305.28,9289.54,7196.54,9.0,C,West,Nov,14.53,Yes,3.0,98.0
20025.57,8543.91,9032.33,1.0,A,South,Apr,36.41,No,3.5,83.0
19639.95,10245.62,6590.69,3.0,C,East,Jun,23.43,No,4.8,88.0
12923.15,16943.98,5944.45,4.0,C,South,Sep,33.03,No,2.7,81.0
17896.77,4398.2,8609.22,1.0,C,North,Jan,39.26,Yes,2.5,76.0
18286.43,12058.78,8612.42,1.0,B,South,May,34.39,Yes,2.6,87.0
15988.61,5161.85,6732.64,8.0,B,East,Nov,35.34,No,2.7,63.0
19193.57,8584.2,6822.4,2.0,B,East,Jul,19.28,No,2.6,72.0
22020.25,13266.85,8580.12,8.0,C,West,Jan,24.31,Yes,3.7,100.0
28634.63875,10192.84,4379.79,7.0,B,South,Apr,13.89,Yes,4.0,121.0
20872.89,6766.77,4481.34,10.0,B,East,Jun,11.86,Yes,3.2,78.0
21287.75,7854.09,6203.89,10.0,A,North,Feb,22.69,Yes,3.5,84.0
19627.77,12038.79,7466.38,2.0,B,West,Oct,25.83,No,2.7,94.0
10428.348750000003,7808.9,8777.27,6.0,B,North,May,16.87,Yes,3.3,60.0
19867.43,10649.38,11688.39,6.0,C,South,Nov,24.93,No,3.8,96.0
20301.15,10136.72,10144.15,3.0,C,South,Oct,36.06,No,4.3,86.0
28634.63875,8045.2,7600.15,2.0,C,South,Jan,24.49,No,2.5,133.0
19038.2,16431.83,7952.46,1.0,C,West,Jun,30.23,Yes,3.7,94.0
21507.74,11901.76,5493.68,6.0,C,East,Jun,33.19,Yes,3.2,97.0
19826.44,3924.57,7953.72,5.0,C,West,Apr,39.61,Yes,4.6,76.0
14156.61,10559.36,7278.35,9.0,B,North,Aug,26.11,Yes,4.3,67.0
25714.11,8014.64,8806.8,1.0,C,West,Apr,33.24,No,4.0,100.0
23759.67,12557.3,5931.92,7.0,C,North,Aug,38.69,Yes,3.2,104.0
